market,Empirical_Rank_1yr,Empirical_Rank_3yr,Empirical_Rank_5yr,Empirical_Rank_10yr,Summary_Sheet_Rank,Rank_Difference_5yr
Santa Barbara - CA,4.0,2.0,1.0,2.0,24.5,23.5
Salinas - CA,1.0,1.0,2.0,1.0,19.0,17.0
Inland Empire - CA,13.0,6.0,3.0,4.0,2.0,-1.0
San Diego - CA,85.0,24.0,4.0,3.0,15.0,11.0
Modesto - CA,7.0,4.0,5.0,6.0,21.5,16.5
Poughkeepsie - NY,5.0,5.0,6.0,30.0,55.0,49.0
Lexington - KY,100.0,33.0,7.0,5.0,13.0,6.0
San Francisco - CA,2.0,3.0,8.0,84.0,50.5,42.5
Ventura - CA,50.0,20.0,9.0,8.0,64.0,55.0
Tampa - FL,15.0,14.0,10.0,9.0,9.0,-1.0
San Jose - CA,43.0,9.0,11.0,32.0,50.5,39.5
Palm Beach - FL,12.0,12.0,12.0,20.0,7.0,-5.0
Winston-Salem - NC,92.0,36.0,13.0,11.0,27.0,14.0
Fresno - CA,10.0,8.0,14.0,13.0,17.0,3.0
Raleigh - NC,147.0,111.0,15.0,14.0,3.0,-12.0
Austin - TX,125.0,26.0,16.0,17.0,1.0,-15.0
Springfield - MA,11.0,13.0,17.0,35.0,65.0,48.0
Manchester - NH,39.0,17.0,18.0,56.0,41.0,23.0
Stockton - CA,8.0,11.0,19.0,16.0,6.0,-13.0
Providence - RI,32.0,19.0,20.0,57.0,34.0,14.0
Gulfport-Biloxi-Pascagoula - MS,81.0,45.0,21.0,18.0,57.0,36.0
Worcester - MA,24.0,16.0,22.0,66.0,44.0,22.0
Seattle - WA,88.0,50.0,23.0,10.0,18.0,-5.0
San Antonio - TX,139.0,67.0,24.0,39.0,4.0,-20.0
Reading - PA,36.0,27.0,25.0,53.0,56.0,31.0
Louisville - KY,103.0,60.0,26.0,22.0,42.0,16.0
Bakersfield - CA,20.0,18.0,27.0,19.0,29.0,2.0
Port St. Lucie - FL,89.0,49.0,28.0,29.0,12.0,-16.0
Lancaster - PA,21.0,28.0,29.0,62.0,53.5,24.5
Salem - OR,3.0,15.0,30.0,48.0,26.0,-4.0
Mobile - AL,107.0,62.0,31.0,26.0,82.0,51.0
Fayetteville - NC,114.0,56.0,32.0,23.0,72.0,40.0
Chattanooga - TN,90.0,58.0,33.0,27.0,32.0,-1.0
Melbourne - FL,73.0,64.0,34.0,36.0,28.0,-6.0
Fort Lauderdale - FL,37.0,41.0,35.0,34.0,46.5,11.5
Northwest Arkansas - AR,112.0,83.0,36.0,24.0,20.0,-16.0
Trenton - NJ,44.0,34.0,37.0,92.0,87.0,50.0
Minneapolis - MN,9.0,7.0,38.0,114.0,67.0,29.0
Norfolk - VA,45.0,55.0,39.0,41.0,91.0,52.0
Tallahassee - FL,93.0,65.0,40.0,38.0,30.0,-10.0
Knoxville - TN,134.0,90.0,41.0,28.0,52.0,11.0
