market,Empirical_Rank_1yr,Empirical_Rank_3yr,Empirical_Rank_5yr,Empirical_Rank_10yr,Summary_Sheet_Rank,Rank_Difference_5yr,growth_eff_rent_1yr,growth_supply_1yr,growth_employment_1yr,growth_income_1yr,growth_pop_1yr,growth_sale_price_1yr,growth_eff_rent_3yr,growth_supply_3yr,growth_employment_3yr,growth_income_3yr,growth_pop_3yr,growth_sale_price_3yr,growth_eff_rent_5yr,growth_supply_5yr,growth_employment_5yr,growth_income_5yr,growth_pop_5yr,growth_sale_price_5yr,growth_eff_rent_10yr,growth_supply_10yr,growth_employment_10yr,growth_income_10yr,growth_pop_10yr,growth_sale_price_10yr
Santa Barbara - CA,4.0,2.0,1.0,2.0,24.5,23.5,0.02420482086195941,-0.00014312294260765412,0.004412003719671764,0.024884745996557323,0.0006160276089279826,0.05844419256346556,0.09290306010327454,0.002671628262010506,0.012783187813869334,0.11201615957698663,0.003539606150746444,0.19899763031881057,0.15487174202654508,0.008587376556461912,0.01960830019664539,0.2063905474762069,0.00671185053332346,0.3351753615084845,0.318632272756195,0.0258575449644578,0.04211361244008982,0.43804886346062233,0.018719921856387378,0.5517848821394997
Salinas - CA,1.0,1.0,2.0,1.0,19.0,17.0,0.026239472500733996,-0.000150632657160088,0.0066635774435492845,0.0419323555182034,0.0012990326157189536,0.05489026715345924,0.09677056064681766,0.00346455111468158,0.01903598910135451,0.14877530610688772,0.0038039735958712573,0.18739921551400185,0.1612769693072158,0.006527415143603221,0.0289269661097471,0.24504006468915063,0.006352724974179047,0.314719951343994,0.33379338781074885,0.015414741916047303,0.05809715895514378,0.4817545821101259,0.017456235041555024,0.5310801221412513
Inland Empire - CA,13.0,6.0,3.0,4.0,2.0,-1.0,0.026664741154968086,0.010858270123086378,0.010560284814132181,0.021583151083099494,0.006783395629177402,0.057031585394919704,0.10023065542213971,0.027040093356672568,0.03198693297800603,0.1018912520929689,0.026082544685470888,0.19269679436879605,0.16769698941606492,0.04367202911839074,0.048816649751800334,0.18403609509728636,0.04584323827753933,0.32390646623657005,0.35222851880012707,0.09119502097746657,0.09862690407314578,0.3950101466233087,0.0954951690897754,0.5575739233378652
San Diego - CA,85.0,24.0,4.0,3.0,15.0,11.0,0.014538673475594122,0.008506935882713451,0.006108949440852829,0.023840313553306958,0.003212028154642388,0.04261146019263595,0.0911238359727049,0.026764264528719384,0.01815362073993998,0.10824228502477684,0.012049885835359486,0.1754622026902546,0.16876266207799984,0.04096714878507579,0.027443028597669228,0.19787113123621825,0.021100806330454303,0.3188691886104311,0.36140020704179077,0.10005072458662978,0.05493519083695375,0.4250481086524851,0.04736216398977411,0.5588497131160735
Modesto - CA,7.0,4.0,5.0,6.0,21.5,16.5,0.025772136130426393,-0.00012002640580932589,0.006918876221990278,0.027410283224176935,0.0024946110157895163,0.05246672399829033,0.09468609192388677,0.0009001980435696666,0.02101211222522603,0.12056499848222302,0.009406401805558628,0.17854920898857962,0.15738687069960466,0.0063613995078917185,0.03332554565407775,0.2168341849647204,0.01660721137487431,0.2982789875073426,0.3232687982619955,0.0221448718718118,0.06987733610511149,0.46675627730209346,0.037970280498664355,0.5041864339913553
Poughkeepsie - NY,5.0,5.0,6.0,30.0,55.0,49.0,0.0290285923523792,-0.00014132278123235587,0.002595145406317556,0.02678517612458009,-0.0006335723168007235,0.0506101510160093,0.10070678836198343,0.011659129451667694,0.00654709017372368,0.11170550985663774,0.002689620751780586,0.17687199983744328,0.16158885907989684,0.026356698699830483,0.008623271464033078,0.1986328930581236,0.005536943254943694,0.30568540665409794,0.30752916186445134,0.0647964951950255,0.014809912745165299,0.4087109883860305,0.018838722543125686,0.4915441349666876
Lexington - KY,100.0,33.0,7.0,5.0,13.0,6.0,0.010509463890814086,-0.0001506515680317344,0.004453426769561286,0.026792826276052395,0.005344451557919738,0.039583780914587585,0.08153138946592775,0.004820850177015501,0.012502152751010742,0.11091192593438826,0.016776873181916452,0.1706618754163134,0.1517723083493836,0.016621889672834955,0.018788698262217407,0.1955340612411347,0.02708930526605946,0.3080715283528619,0.3184985193270786,0.04798252441810824,0.040177509697630676,0.40771908411909963,0.053106563329530454,0.5306116382463724
San Francisco - CA,2.0,3.0,8.0,84.0,50.5,42.5,0.034049737209462805,0.00625482831188906,0.008118763971430187,0.03871453727507568,0.007876504565313747,0.07040911460874621,0.10243031037310657,0.01471003489704037,0.02443892781200585,0.16050286447130868,0.008107829092595997,0.19714050683064288,0.15142956055121304,0.03201470470710466,0.03817522899514758,0.2890495342620645,0.006872186507471234,0.31293014063396196,0.2738959647839714,0.0867684275020646,0.07748521073005832,0.6164549447303391,0.01369148062991643,0.4705802107130268
Ventura - CA,50.0,20.0,9.0,8.0,64.0,55.0,0.021147433757038314,0.019040752016236784,0.005066124754824708,0.03133523477028555,0.001160048449259321,0.05833566716726102,0.08902139260018194,0.031805800352507685,0.014257951833426263,0.1245699039255328,0.004362751636125983,0.19817439413131943,0.15001596326163003,0.04975164236500551,0.021260662394357643,0.21341508991213076,0.008053199045105153,0.33399592215882334,0.3102823530488019,0.10163969449340393,0.040636117591871024,0.4329947872465989,0.02050828969477747,0.5475803256638012
Tampa - FL,15.0,14.0,10.0,9.0,9.0,-1.0,0.0362111811417265,0.021828734158242602,0.007642472338224238,0.025665098527445807,0.0065228151567273684,0.0695358168670468,0.1268040975239495,0.06628973970389862,0.021682794817123208,0.10504730940066143,0.02417721176693277,0.23060754289904528,0.20767828442697067,0.11271170916115714,0.033835051286256856,0.18692141376434956,0.041651137554038264,0.3797544681838452,0.4086484462375579,0.22576481755957833,0.06963386785430403,0.3957636699246956,0.08788723336464632,0.6372491549803758
