market,Rank_1yr,Rank_3yr,Rank_5yr,Rank_10yr,Trajectory_Score,Rent_Growth_1yr,Rent_Growth_5yr_Ann,Rent_Growth_10yr_Ann
Phoenix - AZ,150.0,150.0,44.0,6.0,-144.0,-0.009164769252169247,0.028231541535348237,0.030319985911262615
Raleigh - NC,144.0,86.0,6.0,4.0,-140.0,0.005458608692194167,0.030676986836986275,0.03120916574634358
Denver - CO,149.0,143.0,113.0,32.0,-117.0,0.0001171948823275315,0.025233646221724415,0.02739952144274005
Lexington - KY,138.0,78.0,28.0,21.0,-117.0,0.010509463890814086,0.02866349166556459,0.028035151362999278
Jacksonville - FL,139.0,101.0,70.0,24.0,-115.0,0.010390209681697682,0.027435845977257012,0.027847403322637687
Sacramento - CA,128.0,107.0,81.0,16.0,-112.0,0.012229022747231033,0.027001803147923997,0.02830072966986319
Las Vegas - NV,141.0,114.0,91.0,29.0,-112.0,0.009395351130173202,0.02658956364859555,0.02748916547060487
Austin - TX,110.0,21.0,10.0,10.0,-100.0,0.014006873388189955,0.030091145987030554,0.02869779898119096
Seattle - WA,109.0,62.0,22.0,9.0,-100.0,0.014104450633716237,0.028889157501887697,0.028947596241274187
San Diego - CA,101.0,32.0,3.0,2.0,-99.0,0.014538673475594122,0.031680604182010574,0.03133220910678092
Dallas-Fort Worth - TX,127.0,87.0,71.0,30.0,-97.0,0.012518722380301384,0.027417100114838222,0.027462595844244264
Knoxville - TN,123.0,91.0,50.0,27.0,-96.0,0.012919548110115198,0.027987166669913854,0.027605981668590074
San Antonio - TX,136.0,69.0,35.0,42.0,-94.0,0.010972459713157523,0.028448365005254717,0.026817471341612054
Greenville - SC,126.0,88.0,63.0,36.0,-90.0,0.012547405897678887,0.02777066624814184,0.027165506765676195
Charleston - SC,137.0,113.0,78.0,47.0,-90.0,0.010793661360073425,0.027054308870910315,0.026741423913092977
Greensboro - NC,131.0,96.0,66.0,45.0,-86.0,0.01174928406147302,0.02759431172185356,0.02676633071414236
Northwest Arkansas - AR,93.0,74.0,30.0,17.0,-76.0,0.015162481129863625,0.028570553396985332,0.028220702557226085
Chattanooga - TN,105.0,73.0,45.0,31.0,-74.0,0.014287570519879944,0.028228869123060996,0.027411421381795087
Mobile - AL,118.0,79.0,48.0,44.0,-74.0,0.013225634163614108,0.02803782323210524,0.026783204289459128
Lafayette - LA,115.0,85.0,58.0,43.0,-72.0,0.013337509867429764,0.027876783549581896,0.02680234243777968
Orlando - FL,121.0,121.0,104.0,50.0,-71.0,0.012988598870932178,0.025748014507594563,0.02669339914761082
Winston-Salem - NC,92.0,58.0,24.0,26.0,-66.0,0.015294709834909659,0.028812910619997467,0.027737874034959864
Port St. Lucie - FL,81.0,57.0,25.0,19.0,-62.0,0.01710520718850983,0.028793506874963848,0.028079335542591677
Orange County - CA,77.0,66.0,49.0,15.0,-62.0,0.01763253703704004,0.02801636294804366,0.028336700131857517
Fayetteville - NC,99.0,70.0,46.0,37.0,-62.0,0.014654828576505352,0.028156681164519748,0.027074001895949884
Columbia - SC,100.0,84.0,53.0,38.0,-62.0,0.014548024249186442,0.027904009079754877,0.0270234145396262
Durham - NC,142.0,134.0,108.0,80.0,-62.0,0.008713971252754638,0.025527855706834357,0.02564537888936047
Portland - OR,132.0,118.0,103.0,71.0,-61.0,0.011636430801909459,0.02583980654864715,0.025983562746123123
Pensacola - FL,119.0,102.0,79.0,59.0,-60.0,0.013013971770743815,0.02703672378459676,0.026338437943170367
Louisville - KY,85.0,53.0,21.0,25.0,-60.0,0.01669548057321335,0.029033765463381433,0.027829608908007897
Savannah - GA,116.0,115.0,89.0,61.0,-55.0,0.01327733753679139,0.02665477471731137,0.026332627233331962
Salt Lake City - UT,125.0,142.0,127.0,72.0,-53.0,0.01270344625522446,0.02410711641476615,0.025931037753233133
Tallahassee - FL,98.0,81.0,62.0,46.0,-52.0,0.014660152133882054,0.027770893717432577,0.026763405911150784
Memphis - TN,143.0,130.0,109.0,91.0,-52.0,0.005614051060400804,0.025490418582477803,0.025342958602209364
Charlotte - NC,145.0,146.0,139.0,94.0,-51.0,0.0041896611450884524,0.023293134190685905,0.025280931117829253
Gulfport-Biloxi-Pascagoula - MS,73.0,44.0,14.0,23.0,-50.0,0.018497287218312453,0.02951254204384779,0.02786400153723112
Melbourne - FL,87.0,75.0,54.0,39.0,-48.0,0.0157945036012066,0.027895233010555298,0.027017051225632915
Little Rock - AR,122.0,100.0,82.0,75.0,-47.0,0.012963898348993252,0.026941987338108264,0.02586806055800328
Richmond - VA,147.0,149.0,144.0,100.0,-47.0,0.003207604913612494,0.021969313274702307,0.02507766409243173
Birmingham - AL,135.0,122.0,101.0,93.0,-42.0,0.0112483774226797,0.026048024073108023,0.025287926458216647
Daytona Beach - FL,102.0,108.0,83.0,63.0,-39.0,0.014494912882572208,0.026879499847136668,0.0262756596524214
Columbus - OH,79.0,55.0,51.0,41.0,-38.0,0.017403451176808193,0.027972403681271407,0.02685995252512363
Naples - FL,94.0,105.0,80.0,57.0,-37.0,0.015026062844116117,0.027032785484145894,0.02640978218609291
Lakeland - FL,96.0,110.0,88.0,62.0,-34.0,0.014720830460227763,0.026683820666527414,0.02628734969513835
Asheville - NC,117.0,123.0,102.0,85.0,-32.0,0.013255444117554971,0.02591459345703573,0.025535551914956045
Montgomery - AL,86.0,72.0,59.0,56.0,-30.0,0.015865003559850877,0.027875902105274353,0.026430831451697223
Huntsville - AL,124.0,124.0,106.0,95.0,-29.0,0.012763475158945603,0.02566761036132892,0.025214352390123596
Shreveport - LA,130.0,109.0,95.0,102.0,-28.0,0.011875625067776063,0.02645030807717741,0.024957533047398783
Atlanta - GA,146.0,147.0,145.0,119.0,-27.0,0.004050395184489464,0.021852470245232958,0.023613019477800368
Augusta - GA,89.0,82.0,68.0,65.0,-24.0,0.01568951530287066,0.027451026878278384,0.026199488195918663
Ventura - CA,55.0,42.0,38.0,33.0,-22.0,0.021147433757038314,0.02834957700049623,0.02739273221418892
Myrtle Beach - SC,133.0,136.0,121.0,112.0,-21.0,0.01162874925430768,0.024450950077885114,0.02413860810684909
Baltimore - MD,72.0,68.0,60.0,53.0,-19.0,0.018534942543312782,0.027839126066137032,0.026604337701871872
Norfolk - VA,29.0,35.0,15.0,14.0,-15.0,0.023949834531998615,0.029347701048932695,0.02833747714529289
San Jose - CA,83.0,45.0,56.0,68.0,-15.0,0.01696656283614395,0.027881090830323307,0.026023377489941657
Sarasota - FL,91.0,112.0,94.0,77.0,-14.0,0.015398945548673826,0.02648599116054262,0.02568821037338953
Washington - DC,148.0,148.0,148.0,134.0,-14.0,0.002233679349130213,0.020691541743200537,0.02230743567809257
Brownsville-Harlingen - TX,35.0,37.0,20.0,22.0,-13.0,0.023433034365314853,0.029113184402395964,0.02787774157185363
Kansas City - MO,134.0,133.0,130.0,122.0,-12.0,0.011410710961839987,0.023889472784679677,0.02342471283903813
Philadelphia - PA,51.0,31.0,32.0,40.0,-11.0,0.021513186693203235,0.02855289025208574,0.026991621895867457
Baton Rouge - LA,112.0,111.0,98.0,101.0,-11.0,0.013801347868366065,0.026222395050883307,0.025039701663979175
Reno - NV,66.0,56.0,77.0,55.0,-11.0,0.019373087063988992,0.027108310028234994,0.026451079627104024
Inland Empire - CA,13.0,6.0,4.0,5.0,-8.0,0.026664741154968086,0.03149239915895663,0.03063529010014321
Modesto - CA,18.0,14.0,12.0,11.0,-7.0,0.025772136130426393,0.029664430225567306,0.028406486518678165
Colorado Springs - CO,114.0,125.0,119.0,107.0,-7.0,0.013449795731358405,0.024584360749768663,0.02436306763843965
Santa Barbara - CA,26.0,22.0,17.0,20.0,-6.0,0.02420482086195941,0.029216525959200323,0.02804557966065424
Salinas - CA,14.0,8.0,8.0,8.0,-6.0,0.026239472500733996,0.030355663545236,0.029221514574574448
Santa Rosa - CA,58.0,52.0,73.0,52.0,-6.0,0.020933793541386914,0.027373485811068354,0.02660618593041808
El Paso - TX,59.0,59.0,67.0,54.0,-5.0,0.020792947163494446,0.027461507920181427,0.026527165870435132
Nashville - TN,120.0,138.0,142.0,115.0,-5.0,0.013003284156132944,0.022598788003790782,0.023953260636685014
Oklahoma City - OK,95.0,89.0,96.0,90.0,-5.0,0.014969939995077564,0.02644407874692889,0.025346929611626434
Fresno - CA,23.0,25.0,18.0,18.0,-5.0,0.024617451146206948,0.0291478053138694,0.028162452217479705
Jackson - MS,103.0,106.0,97.0,99.0,-4.0,0.014400295935467433,0.026361297170462095,0.02507826400726798
Fort Lauderdale - FL,11.0,11.0,9.0,7.0,-4.0,0.027260831157008614,0.03022959128112035,0.029379183547959542
Stockton - CA,17.0,16.0,13.0,13.0,-4.0,0.025895413440874426,0.029519429768019023,0.028390676818425886
Ocala - FL,113.0,132.0,117.0,109.0,-4.0,0.013573451354912391,0.02481541212616256,0.024298269206995515
Houston - TX,129.0,127.0,131.0,125.0,-4.0,0.012052405727063897,0.023792489901092395,0.02308052993279186
