market,PreCOVID_SalePrice_AnnGrowth,COVID_SalePrice_AnnGrowth,PostCOVID_SalePrice_AnnGrowth,COVID_Deviation_Flag,Supply_Early_Growth,Supply_Late_Growth,Supply_Shift_Flag
Akron - OH,0.030732337353809758,0.11679393300166652,0.0012295186219664078,True,0.012865937569960462,0.009464206821783394,False
Albany - NY,0.049873105973962106,0.08904507155742936,-0.04704250100495033,False,0.016520564810169835,0.02080836824866439,False
Albuquerque - NM,0.05219851780361995,0.16353554566377837,-0.038139302136733555,True,0.005868241765165427,0.017237320009753754,True
Anchorage - AK,0.013715327327182614,0.10851529223144674,-0.03742701956731098,True,-0.0017269513031009653,0.0021227471935625353,True
Asheville - NC,0.07719217364589603,0.18165062304854285,-0.013201433932775841,True,0.05724359420949798,0.043957797509261765,False
Atlanta - GA,0.08082925908507455,0.1862350182455479,-0.032072166686270664,True,0.02350242326843066,0.04543899357232983,True
Augusta - GA,0.05900544112495143,0.15460164591392522,-0.026462562988093352,True,0.04594921296282872,0.04315559973761096,False
Austin - TX,0.06518229210540616,0.15210047181894581,-0.06496987589788006,True,0.05259369984584161,0.0830199211625191,True
Bakersfield - CA,0.05332015292810732,0.14642691100717786,-0.01397843242870822,True,0.015720443625695912,0.006922689506309698,False
Baltimore - MD,0.033047055879458886,0.12464481612615774,-0.04368182950305144,True,0.0069732459117766155,0.01623287409841101,True
Baton Rouge - LA,0.02606135102536733,0.1483787062795081,-0.023500722073761304,True,0.00951608236421686,0.024209506903133837,True
Beaumont - TX,0.04692694038880019,0.11688611090226697,-0.04680575051826741,True,0.02384553270206835,0.00657512415054784,False
Birmingham - AL,0.05181927724235136,0.10850331495026189,-0.04602968307422406,True,0.014333754459912473,0.016386003356342327,False
Boise - ID,0.08817549656992774,0.24539028821962683,-0.019679693661163067,True,0.08026977818478098,0.07631743862759865,False
Boston - MA,0.06126423610740006,0.11790634298160718,-0.015167050770245272,False,0.033444120506733066,0.028527326894237426,False
Brownsville-Harlingen - TX,0.03516896059325747,0.12072273196174721,-0.05619881149348238,True,0.01640822801823094,0.017918790642643456,False
Buffalo - NY,0.05656447264747011,0.08993417103637058,-0.01423355905760304,False,0.022053330914980185,0.018532512006355528,False
Canton - OH,0.04427064083341903,0.10186729933940075,-0.027128178011343373,True,0.010501629858878925,0.001474030681491989,False
Charleston - SC,0.07275284954906525,0.1573825582061108,-0.01728842839843725,True,0.06093637420970688,0.06476537608974442,False
Charlotte - NC,0.07149718611431699,0.170565897843731,-0.03303382146277689,True,0.05539795650127477,0.07111472581305911,False
Chattanooga - TN,0.060716220663721066,0.20320894744276363,-0.03298617136678694,True,0.02067319888410335,0.05807916802689217,True
Chicago - IL,0.043494028985334277,0.09746874200430766,-0.04139368736153193,True,0.014030145885597589,0.015525497707737035,False
Cincinnati - OH,0.05449509005799813,0.11055170046984197,0.000867718046963617,True,0.008714058523949353,0.025954054257954384,True
Cleveland - OH,0.044861372319764836,0.1024739926464373,-0.03484783371893796,True,0.008708291512839361,0.016844650798301553,True
Colorado Springs - CO,0.1087662798571285,0.19842739251306063,-0.014014778128586536,False,0.02042080262800461,0.07837549768640817,True
Columbia - SC,0.07097221991934033,0.16267527885975075,-0.013850339455109606,True,0.007192254635446593,0.01688476897297364,True
Columbus - OH,0.06868025656119925,0.1172345483641557,0.0041884128072413596,False,0.02770876729702132,0.03515443476513469,False
Corpus Christi - TX,0.0440179189507246,0.12495386862837066,-0.013884806627195156,True,0.01258303195629562,0.026445387447995072,True
Dallas-Fort Worth - TX,0.06935635448745336,0.1580058646469762,-0.045267108224888,True,0.033239098588913496,0.041072678083668546,False
Dayton - OH,0.05421812202172105,0.11292748861426816,-0.017769791119705336,True,0.0022911355269388256,0.01328771444841248,True
Daytona Beach - FL,0.06629242079380937,0.19953263378147845,-0.026669512703535125,True,0.08134216073113665,0.07289140988649123,False
Denver - CO,0.07145263909487465,0.12122594752201565,-0.03677023913916033,False,0.032348005308072025,0.04804994186038791,False
Des Moines - IA,0.04427666753746795,0.11933295249800513,-0.027911523990383214,True,0.0243930362941287,0.030500395460548058,False
Detroit - MI,0.06616467898297285,0.1369389535773775,-0.019862847667811434,True,0.012089803502557839,0.011166058725499584,False
Durham - NC,0.05575628717530434,0.1583582741702989,-0.024008926813349096,True,0.024675916791603525,0.048451005657763835,True
East Bay - CA,0.07618873314603336,0.08911993044238575,-0.07367449050184272,False,0.021609538592347377,0.017372470305356602,False
El Paso - TX,0.04362252053877458,0.17184342033415478,-0.03516409425424394,True,0.007848948033736036,0.013007801581635059,True
