market,Empirical_Rank_5yr,Empirical_Rank_10yr,Summary_Sheet_Rank,Rank_Difference_5yr,Quadrant,Supply_Growth_5yr,UPP_Change_5yr,Absorption_Pressure,Trajectory_Score,Rank_1yr,Rank_10yr,Rent_Growth_1yr,Rent_Growth_5yr_Ann,Rent_Growth_10yr_Ann,COVID_Deviation_Flag,Supply_Shift_Flag,PreCOVID_SalePrice_AnnGrowth,COVID_SalePrice_AnnGrowth
Santa Barbara - CA,1.0,2.0,24.5,23.5,Q2_LowSupply_TightPerCap,0.0085873765564619,8.860541299401947e-05,-0.0018755260231384,-6.0,26.0,20.0,0.0242048208619594,0.0292165259592003,0.0280455796606542,True,False,0.0656922438472038,0.141109490792878
Salinas - CA,2.0,1.0,19.0,17.0,Q2_LowSupply_TightPerCap,0.0065274151436032,8.011100140134508e-06,-0.0001746901694241,-6.0,14.0,8.0,0.0262394725007339,0.030355663545236,0.0292215145745744,False,True,0.0759303772753918,0.1311658955842811
Inland Empire - CA,3.0,4.0,2.0,-1.0,Q2_LowSupply_TightPerCap,0.0436720291183907,-7.887919022735862e-05,0.0021712091591485,-8.0,13.0,5.0,0.026664741154968,0.0314923991589566,0.0306352901001432,True,True,0.0824743640285421,0.1838877678994892
San Diego - CA,4.0,3.0,15.0,11.0,Q2_LowSupply_TightPerCap,0.0409671487850757,0.0016763466126863,-0.0198663424546214,-99.0,101.0,2.0,0.0145386734755941,0.0316806041820105,0.0313322091067809,True,False,0.0691425294830616,0.1509679281842957
Modesto - CA,5.0,6.0,21.5,16.5,Q2_LowSupply_TightPerCap,0.0063613995078917,-0.000303949565112,0.0102458118669825,-7.0,18.0,11.0,0.0257721361304263,0.0296644302255673,0.0284064865186781,False,True,0.0889493167240389,0.1468369049489981
Poughkeepsie - NY,6.0,30.0,55.0,49.0,Q2_LowSupply_TightPerCap,0.0263566986998304,0.0007408347927605,-0.0208197554448867,28.0,7.0,35.0,0.0290285923523792,0.0304110031212949,0.0271766500270891,True,True,0.049319437591188,0.1148716904848698
Lexington - KY,7.0,5.0,13.0,6.0,Q2_LowSupply_TightPerCap,0.0166218896728349,-0.0007649862527721,0.0104674155932245,-117.0,138.0,21.0,0.010509463890814,0.0286634916655645,0.0280351513629992,True,False,0.0611189584850053,0.14374008493572
San Francisco - CA,8.0,84.0,50.5,42.5,Q3_LowSupply_Stagnant,0.0320147047071046,0.0029867728223402,-0.0251425181996334,102.0,3.0,105.0,0.0340497372094628,0.0286022618340173,0.0245033815268596,False,False,0.0474964247333582,0.0324435903820501
Ventura - CA,9.0,8.0,64.0,55.0,Q2_LowSupply_TightPerCap,0.0497516423650055,0.0018654298984511,-0.0416984433199003,-22.0,55.0,33.0,0.0211474337570383,0.0283495770004962,0.0273927322141889,True,False,0.0663576500863261,0.1590928389143961
Tampa - FL,10.0,9.0,9.0,-1.0,Q4_HighSupply_Oversupply,0.1127117091611571,0.0048161093380745,-0.0710605716071188,-1.0,2.0,1.0,0.0362111811417265,0.0384611445295561,0.0348568102812438,True,False,0.0771328591280564,0.1843534690325206
